id,lng,lat
373,-3.501760,50.556236
374,-3.494406,50.672204
375,-3.492884,51.203506
376,-3.492531,50.902608
377,-3.492085,50.726793
378,-3.491406,50.971950
379,-3.491385,54.705243
380,-3.491142,51.649169
381,-3.486663,53.321423
382,-3.484245,53.315536
383,-3.484068,50.715817
384,-3.484047,54.712977
385,-3.482378,50.737176
386,-3.477985,51.409071
387,-3.477734,50.912792
388,-3.475525,51.204054
389,-3.473951,50.689406
390,-3.473765,50.577573
391,-3.473760,50.906563
392,-3.467045,53.315609
393,-3.466582,53.291865
394,-3.465811,51.667589
395,-3.465520,51.641951
396,-3.464842,50.587946
397,-3.464498,51.625125
398,-3.463820,51.716036
399,-3.456028,51.721869
400,-3.452569,51.583845
401,-3.449031,51.536940
402,-3.447383,51.461058
403,-3.446405,53.254151
404,-3.444427,51.614855
405,-3.443394,50.761832
406,-3.441987,51.952684
407,-3.439307,52.273748
408,-3.437666,50.825692
409,-3.434970,51.645338
410,-3.434418,50.664822
411,-3.429489,51.696881
412,-3.425048,53.184453
413,-3.423231,51.583706
414,-3.422996,53.335500
415,-3.418605,51.709448
416,-3.414468,53.327066
417,-3.413147,53.302753
418,-3.412420,52.149200
419,-3.412310,50.621524
420,-3.412124,54.661207
421,-3.411810,51.606761
422,-3.408947,51.618565
423,-3.405689,50.635842
424,-3.405492,51.403200
425,-3.403768,53.185380
426,-3.400267,51.753735
427,-3.400062,53.334659
428,-3.394997,50.620176
429,-3.394824,50.855894
430,-3.393533,51.950019
431,-3.392448,50.629569
432,-3.392123,51.521372
433,-3.389322,50.638866
434,-3.386206,51.748083
435,-3.381615,51.682967
436,-3.380339,52.585825
437,-3.379672,51.763018
438,-3.377865,52.242008
439,-3.374895,51.538399
440,-3.374149,50.893254
441,-3.369621,51.672227
442,-3.368176,51.741705
443,-3.357851,51.764157
444,-3.356312,54.660673
445,-3.354381,51.553810
446,-3.349606,51.602906
447,-3.348081,53.040288
448,-3.342330,51.627341
449,-3.342074,51.698805
450,-3.335698,53.328094
451,-3.331493,52.507341
452,-3.331145,51.648733
453,-3.330536,51.559965
454,-3.328975,51.176754
455,-3.328667,51.610406
456,-3.328386,50.634559
457,-3.326595,50.687593
458,-3.324768,54.766070
459,-3.319300,51.590193
460,-3.316184,51.457335
461,-3.315539,51.569854
462,-3.312187,52.517182
463,-3.309230,53.113520
464,-3.307940,51.040931
465,-3.305152,51.663768
466,-3.304981,51.522683
467,-3.292526,51.410211
468,-3.290892,51.149880
469,-3.289784,50.787486
470,-3.284320,51.403540
471,-3.280756,50.748993
472,-3.279781,50.912131
473,-3.279308,53.135574
474,-3.278867,51.753987
475,-3.278687,51.563300
476,-3.275592,51.398091
477,-3.275025,54.211318
478,-3.271431,51.599455
479,-3.269611,51.418678
480,-3.265405,52.768836
481,-3.264623,51.473865
482,-3.262689,51.408823
483,-3.260862,51.521453
484,-3.259597,51.645845
485,-3.257097,54.111678
486,-3.252399,51.470372
487,-3.250479,51.784863
488,-3.250372,51.480356
489,-3.248169,51.417271
490,-3.247916,53.282042
491,-3.247429,51.496376
492,-3.246265,54.102301
493,-3.243097,51.720818
494,-3.243042,51.489594
495,-3.242989,51.666407
496,-3.242645,51.769224
497,-3.241661,50.685355
498,-3.237376,51.478483
499,-3.236522,51.594475
500,-3.236349,50.698192
501,-3.236029,51.579910
502,-3.234899,51.521368
503,-3.234063,51.688827
504,-3.232277,51.570245
505,-3.230886,50.980938
506,-3.230349,54.125957
507,-3.228860,51.649611
508,-3.228852,51.496204
509,-3.227859,53.230566
510,-3.227306,50.975107
511,-3.223244,54.113056
512,-3.222169,51.691530
513,-3.221051,54.123247
514,-3.218562,51.511453
515,-3.217888,51.503158
516,-3.216005,51.485771
517,-3.215641,51.530275
518,-3.214684,51.666788
519,-3.213470,51.799728
520,-3.212862,51.434271
521,-3.212682,51.784690
522,-3.212135,54.133203
523,-3.212100,51.582866
524,-3.211888,52.528867
525,-3.209466,54.113485
526,-3.207549,51.520561
527,-3.207538,51.480522
528,-3.206266,53.277389
529,-3.202568,51.510928
530,-3.201577,51.681499
531,-3.200905,52.043101
532,-3.199406,54.181656
533,-3.199300,51.485821
534,-3.199077,51.665358
535,-3.197816,51.539596
536,-3.197726,50.792056
537,-3.197407,51.758329
538,-3.194719,51.653129
